,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,Enrollment,% Students with Disabilities,% Overage,% Black or Hispanic,% ELL
0,832,679,735,3286,0.014,0.001,0.037,0.001
1,92,636,648,395,0.038,0.0,0.243,0.0
2,227,635,682,1185,0.017,0.001,0.062,0.0
3,731,632,688,3060,0.015,0.003,0.103,0.001
4,130,624,604,601,0.013,0.0,0.343,0.0
5,278,621,651,1116,0.004,0.0,0.198,0.0
6,121,612,660,400,0.02,0.005,0.18,0.0
7,101,605,654,439,0.048,0.007,0.36,0.0
8,1277,587,659,5451,0.014,0.003,0.175,0.001
9,72,586,584,509,0.022,0.012,0.42,0.002
10,261,577,575,1263,0.062,0.002,0.384,0.0
11,127,572,594,516,0.031,0.0,0.169,0.0
12,531,566,564,2688,0.026,0.003,0.309,0.001
13,155,545,568,591,0.005,0.007,0.315,0.002
14,114,537,590,578,0.18,0.003,0.263,0.01
15,144,528,553,658,0.097,0.005,0.275,0.002
16,259,524,561,1018,0.114,0.004,0.208,0.011
17,61,524,568,270,0.004,0.0,0.3,0.0
18,159,522,574,570,0.044,0.0,0.349,0.004
19,66,517,533,410,0.18,0.007,0.434,0.005
20,99,513,523,510,0.025,0.004,0.651,0.0
21,94,509,490,438,0.066,0.007,0.527,0.005
22,174,504,496,786,0.039,0.006,0.439,0.0
23,89,499,537,453,0.004,0.002,0.382,0.0
24,104,496,563,441,0.05,0.005,0.197,0.002
25,54,492,465,280,0.132,0.05,0.357,0.014
26,135,487,492,752,0.109,0.021,0.44,0.04
27,888,480,545,3778,0.147,0.028,0.384,0.063
28,824,478,519,3893,0.073,0.014,0.463,0.038
29,165,476,481,936,0.03,0.014,0.97,0.001
30,111,473,506,456,0.07,0.018,0.636,0.009
31,92,473,483,447,0.145,0.002,0.62,0.002
32,107,472,488,476,0.227,0.011,0.382,0.017
33,185,471,472,900,0.037,0.012,0.952,0.0
34,63,471,489,363,0.234,0.014,0.325,0.003
35,81,469,472,517,0.06,0.012,0.729,0.002
36,934,468,539,4129,0.149,0.041,0.325,0.141
37,727,468,496,4031,0.172,0.027,0.42,0.088
38,103,468,492,480,0.123,0.008,0.519,0.004
39,263,465,493,1339,0.164,0.043,0.746,0.09
40,807,462,486,3849,0.18,0.012,0.127,0.014
41,708,462,523,3297,0.144,0.027,0.37,0.058
42,375,461,514,1617,0.08,0.011,0.772,0.035
43,81,459,480,448,0.192,0.033,0.929,0.029
44,214,458,474,1134,0.092,0.046,0.96,0.025
45,69,457,462,313,0.045,0.006,0.942,0.0
46,762,456,497,3834,0.144,0.033,0.395,0.088
47,131,456,456,573,0.038,0.007,0.853,0.002
48,535,455,474,3402,0.219,0.038,0.358,0.031
49,58,455,498,311,0.122,0.01,0.415,0.013
50,422,452,478,2225,0.136,0.028,0.439,0.013
51,137,452,451,517,0.18,0.012,0.304,0.002
52,396,445,496,2224,0.084,0.013,0.596,0.027
53,270,444,441,1386,0.155,0.034,0.769,0.017
54,97,444,471,641,0.189,0.059,0.808,0.034
55,167,443,489,757,0.162,0.066,0.679,0.089
56,80,443,447,501,0.158,0.024,0.703,0.056
57,95,441,473,413,0.107,0.002,0.896,0.034
58,68,439,445,280,0.136,0.021,0.768,0.025
59,113,438,455,638,0.196,0.025,0.683,0.044
60,89,438,443,371,0.078,0.019,0.957,0.003
61,375,437,435,2441,0.197,0.066,0.709,0.063
62,518,436,475,3158,0.151,0.038,0.336,0.123
63,59,436,427,485,0.107,0.056,0.864,0.019
64,75,433,433,603,0.227,0.106,0.927,0.109
65,70,432,446,289,0.118,0.01,0.893,0.014
66,99,431,458,691,0.233,0.043,0.462,0.122
67,76,431,438,504,0.208,0.042,0.895,0.022
68,228,430,456,1339,0.084,0.038,0.932,0.034
69,25,430,452,309,0.113,0.042,0.547,0.081
70,336,429,449,1726,0.139,0.046,0.732,0.045
71,194,429,491,928,0.098,0.018,0.514,0.005
72,119,429,449,639,0.189,0.036,0.297,0.085
73,42,429,404,223,0.063,0.009,0.879,0.004
74,39,428,465,142,0.134,0.021,0.993,0.035
75,141,426,421,768,0.112,0.033,0.926,0.007
76,259,425,413,1609,0.14,0.054,0.968,0.099
77,238,425,474,1292,0.241,0.024,0.632,0.055
78,175,425,434,1227,0.189,0.022,0.65,0.027
79,391,424,437,2683,0.229,0.045,0.388,0.054
80,271,424,438,1950,0.254,0.07,0.692,0.057
81,335,423,423,1669,0.123,0.031,0.923,0.028
82,93,423,426,593,0.162,0.013,0.508,0.04
83,85,423,438,426,0.157,0.04,0.763,0.016
84,52,423,420,428,0.1,0.037,0.956,0.023
85,68,420,445,401,0.127,0.055,0.686,0.105
86,66,420,426,326,0.129,0.043,0.951,0.037
87,443,419,426,3654,0.206,0.126,0.897,0.202
88,48,419,433,491,0.265,0.09,0.914,0.045
89,79,418,441,434,0.083,0.035,0.956,0.012
90,694,417,478,4419,0.146,0.061,0.337,0.216
91,155,417,447,1469,0.167,0.029,0.796,0.046
92,94,416,422,647,0.309,0.07,0.74,0.04
93,84,416,426,640,0.208,0.108,0.872,0.05
94,59,416,463,385,0.145,0.042,0.356,0.171
95,54,416,432,277,0.072,0.014,0.978,0.004
96,395,414,449,2766,0.145,0.091,0.557,0.177
97,131,414,425,720,0.179,0.09,0.922,0.089
98,99,414,435,440,0.098,0.082,0.827,0.35
99,134,413,396,696,0.162,0.138,0.976,0.095
100,54,413,399,425,0.186,0.073,0.976,0.094
101,51,413,381,328,0.22,0.049,0.979,0.104
102,415,412,436,2944,0.253,0.091,0.829,0.095
103,78,412,581,388,0.046,0.049,0.062,0.348
104,80,411,464,339,0.218,0.035,0.953,0.065
105,98,410,440,437,0.199,0.023,0.741,0.032
106,62,409,393,433,0.212,0.042,0.91,0.028
107,61,409,424,618,0.194,0.07,0.913,0.07
108,84,408,384,592,0.258,0.093,0.941,0.061
109,60,408,446,342,0.129,0.035,0.98,0.018
110,36,408,432,240,0.254,0.121,0.983,0.129
111,264,407,440,1792,0.173,0.104,0.873,0.111
112,148,407,434,920,0.187,0.047,0.745,0.104
113,44,407,386,416,0.197,0.108,0.913,0.038
114,41,407,386,346,0.223,0.185,0.962,0.127
115,85,406,391,817,0.192,0.071,0.947,0.021
116,74,406,406,555,0.198,0.054,0.872,0.02
117,39,406,413,428,0.189,0.063,0.701,0.112
118,89,405,454,436,0.126,0.039,0.667,0.067
119,77,405,423,439,0.212,0.062,0.841,0.03
120,73,405,421,465,0.157,0.026,0.918,0.041
121,64,405,415,318,0.145,0.082,0.792,0.17
122,59,405,391,333,0.192,0.051,0.961,0.036
123,448,404,468,1894,0.121,0.075,0.464,0.234
124,80,404,418,469,0.192,0.051,0.97,0.062
125,69,404,429,447,0.235,0.04,0.866,0.078
126,51,404,418,405,0.153,0.074,0.951,0.116
127,48,404,449,418,0.227,0.074,0.902,0.11
128,37,404,393,330,0.233,0.121,0.952,0.091
129,392,403,420,3029,0.17,0.087,0.735,0.147
130,79,403,394,472,0.083,0.032,0.962,0.038
131,46,403,385,291,0.189,0.186,0.969,0.107
132,40,403,392,351,0.279,0.054,0.846,0.046
133,456,402,471,3289,0.185,0.104,0.324,0.247
134,54,402,427,512,0.197,0.059,0.461,0.107
135,54,402,395,416,0.226,0.132,0.966,0.067
136,49,402,398,458,0.17,0.079,0.928,0.041
137,46,401,397,326,0.153,0.052,0.936,0.021
138,105,400,417,440,0.145,0.027,0.961,0.007
139,78,400,426,442,0.131,0.115,0.894,0.054
140,64,400,419,289,0.062,0.028,0.945,0.028
141,46,400,357,419,0.227,0.141,0.952,0.086
142,24,400,422,657,0.181,0.122,0.965,0.283
143,92,399,417,534,0.169,0.084,0.882,0.062
144,83,399,418,428,0.234,0.075,0.9,0.042
145,64,399,396,235,0.298,0.132,0.949,0.196
146,58,399,393,497,0.157,0.048,0.823,0.006
147,142,398,421,1003,0.154,0.085,0.936,0.111
148,77,398,402,619,0.208,0.123,0.924,0.073
149,61,398,412,438,0.292,0.023,0.304,0.009
150,59,398,411,418,0.144,0.067,0.921,0.045
151,558,397,451,3634,0.14,0.099,0.614,0.257
152,113,397,410,636,0.151,0.028,0.863,0.03
153,58,397,391,282,0.195,0.082,0.837,0.131
154,475,396,437,2419,0.157,0.078,0.587,0.148
155,66,396,402,393,0.145,0.038,0.982,0.01
156,66,396,398,547,0.177,0.106,0.947,0.115
157,59,396,374,396,0.157,0.172,0.98,0.056
158,462,395,413,3109,0.111,0.083,0.571,0.157
159,241,395,420,1936,0.16,0.093,0.683,0.224
160,182,395,418,1227,0.202,0.066,0.927,0.037
161,72,395,416,438,0.242,0.082,0.833,0.064
162,16,395,400,189,0.36,0.074,0.915,0.085
163,95,394,414,780,0.303,0.115,0.891,0.038
164,76,394,400,518,0.274,0.1,0.983,0.124
165,53,394,384,340,0.229,0.068,0.841,0.032
166,347,393,441,2977,0.156,0.1,0.762,0.191
167,76,393,399,361,0.285,0.05,0.828,0.039
168,62,393,381,510,0.2,0.076,0.924,0.043
169,50,393,394,393,0.221,0.081,0.977,0.087
170,33,393,395,305,0.236,0.131,0.99,0.049
171,69,392,416,402,0.189,0.085,0.978,0.027
172,61,392,401,427,0.176,0.089,0.953,0.133
173,403,391,409,3253,0.16,0.152,0.646,0.176
174,334,391,397,2239,0.145,0.127,0.706,0.119
175,138,391,403,857,0.155,0.04,0.882,0.132
176,73,391,395,431,0.239,0.07,0.919,0.053
177,60,391,391,513,0.175,0.066,0.904,0.023
178,44,391,401,313,0.211,0.166,0.933,0.125
179,111,390,408,588,0.162,0.032,0.946,0.08
180,62,390,399,396,0.24,0.114,0.927,0.192
181,44,390,433,367,0.267,0.123,0.875,0.098
182,34,390,401,220,0.255,0.195,0.982,0.164
183,60,389,409,365,0.211,0.088,0.962,0.025
184,63,388,382,490,0.149,0.076,0.935,0.078
185,46,388,393,390,0.344,0.097,0.946,0.121
186,39,388,398,347,0.187,0.081,0.908,0.037
187,87,387,385,451,0.171,0.109,0.962,0.042
188,69,387,365,479,0.236,0.121,0.952,0.084
189,67,387,402,494,0.249,0.091,0.966,0.049
190,63,387,377,322,0.196,0.134,0.991,0.031
191,60,387,391,475,0.246,0.061,0.815,0.072
192,44,387,411,525,0.236,0.044,0.977,0.053
193,189,386,397,1826,0.284,0.122,0.953,0.082
194,75,386,380,464,0.136,0.037,0.97,0.022
195,56,386,394,360,0.225,0.083,0.964,0.061
196,38,386,386,437,0.259,0.137,0.982,0.183
197,48,385,393,393,0.145,0.048,0.967,0.003
198,114,384,394,693,0.254,0.097,0.975,0.1
199,88,384,409,521,0.161,0.058,0.983,0.179
200,72,384,364,712,0.219,0.107,0.971,0.039
201,52,384,385,463,0.248,0.095,0.873,0.045
202,41,384,390,369,0.244,0.095,0.94,0.122
203,40,384,375,254,0.197,0.102,0.764,0.047
204,385,383,486,3103,0.138,0.138,0.367,0.382
205,320,383,440,2229,0.135,0.166,0.69,0.316
206,91,383,423,331,0.281,0.205,0.683,0.23
207,55,383,378,499,0.257,0.134,0.974,0.104
208,54,383,358,377,0.255,0.088,0.981,0.058
209,38,383,400,320,0.213,0.119,0.891,0.106
210,404,382,404,2336,0.179,0.094,0.633,0.172
211,79,382,393,567,0.196,0.081,0.926,0.065
212,51,382,365,313,0.227,0.188,0.942,0.246
213,26,382,406,351,0.208,0.071,0.929,0.131
214,12,382,372,144,0.313,0.174,0.972,0.104
215,72,381,376,555,0.236,0.085,0.926,0.11
216,57,381,381,367,0.262,0.128,0.97,0.207
217,70,380,395,374,0.214,0.064,0.995,0.144
218,61,380,386,429,0.2,0.1,0.984,0.051
219,50,380,366,344,0.212,0.151,0.971,0.387
220,72,379,416,294,0.19,0.075,0.83,0.116
221,66,378,374,537,0.236,0.093,0.966,0.039
222,101,377,371,1012,0.231,0.185,0.908,0.049
223,81,377,391,477,0.18,0.073,0.95,0.063
224,70,377,402,387,0.245,0.052,0.786,0.039
225,48,377,372,418,0.251,0.134,0.926,0.072
226,38,377,404,275,0.269,0.182,0.982,0.04
227,51,376,385,411,0.175,0.139,0.912,0.212
228,49,376,460,317,0.019,0.18,0.505,0.798
229,40,376,385,302,0.205,0.149,0.93,0.106
230,50,375,388,309,0.22,0.065,0.929,0.061
231,37,375,355,469,0.23,0.111,0.959,0.038
232,58,374,375,399,0.195,0.075,0.912,0.083
233,49,374,384,434,0.24,0.15,0.965,0.111
234,29,374,377,298,0.245,0.208,0.97,0.064
235,86,373,412,414,0.261,0.116,0.932,0.15
236,78,373,387,413,0.317,0.077,0.973,0.031
237,68,373,370,349,0.264,0.117,0.971,0.129
238,54,373,381,423,0.291,0.17,0.979,0.175
239,51,373,379,388,0.147,0.023,0.941,0.031
240,42,373,370,419,0.205,0.06,0.907,0.036
241,55,372,379,536,0.239,0.103,0.953,0.237
242,68,371,365,357,0.213,0.176,0.961,0.036
243,60,371,371,412,0.252,0.083,0.896,0.104
244,32,371,368,459,0.235,0.122,0.965,0.072
245,31,371,377,310,0.229,0.152,0.965,0.132
246,74,370,381,347,0.104,0.092,0.928,0.035
247,74,370,369,465,0.361,0.153,0.968,0.069
248,57,370,371,496,0.228,0.133,0.946,0.173
249,43,370,367,294,0.187,0.092,0.908,0.031
250,36,370,372,268,0.235,0.127,0.981,0.011
251,25,370,349,261,0.314,0.211,0.874,0.134
252,67,369,367,367,0.213,0.063,0.97,0.101
253,63,369,380,550,0.233,0.12,0.973,0.293
254,39,369,371,304,0.319,0.155,0.951,0.095
255,50,368,384,391,0.184,0.138,0.974,0.074
256,43,368,378,276,0.257,0.199,0.949,0.072
257,94,367,376,620,0.332,0.153,0.948,0.055
258,63,367,385,442,0.251,0.145,0.957,0.17
259,42,367,373,454,0.2,0.051,0.96,0.033
260,36,367,379,379,0.156,0.077,0.879,0.084
261,28,367,356,440,0.273,0.155,0.989,0.136
262,65,366,364,404,0.24,0.124,0.96,0.166
263,46,366,378,387,0.271,0.114,0.966,0.106
264,131,365,370,1199,0.219,0.158,0.977,0.028
265,102,365,361,433,0.286,0.162,0.97,0.226
266,76,365,384,571,0.187,0.117,0.977,0.455
267,144,364,379,1120,0.173,0.098,0.98,0.171
